Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Community Health,Cameroon,Central Africa,2021,Q4,2021-Q4,306448,224654,73.3,46757,50321,107.6,4.8,3.7,5,15
Community Health,Cameroon,Central Africa,2022,Q1,2022-Q1,423894,421880,99.5,6783,4413,65.1,4.7,3.9,0,18
Community Health,Cameroon,Central Africa,2022,Q2,2022-Q2,55406,48971,88.4,2903,2440,84.1,5.0,3.1,8,6
Community Health,Cameroon,Central Africa,2022,Q3,2022-Q3,40880,26109,63.9,5962,4198,70.4,3.0,3.1,25,12
Community Health,Cameroon,Central Africa,2022,Q4,2022-Q4,285609,173861,60.9,20775,20719,99.7,4.4,3.3,20,16
Community Health,Cameroon,Central Africa,2023,Q1,2023-Q1,422186,332297,78.7,29225,19103,65.4,2.6,4.6,13,12
Community Health,Cameroon,Central Africa,2023,Q2,2023-Q2,63215,38194,60.4,43978,50141,114.0,4.4,4.8,17,17
Community Health,Cameroon,Central Africa,2023,Q3,2023-Q3,342986,265174,77.3,12006,7128,59.4,3.5,4.8,8,2
Community Health,Cameroon,Central Africa,2023,Q4,2023-Q4,182480,174737,95.8,7178,8941,124.6,3.3,4.2,16,6
Community Health,Cameroon,Central Africa,2024,Q1,2024-Q1,443656,430684,97.1,12182,10374,85.2,3.6,3.6,17,10
Community Health,Cameroon,Central Africa,2024,Q2,2024-Q2,224855,221155,98.4,40432,37769,93.4,2.9,4.2,20,20
Community Health,Cameroon,Central Africa,2024,Q3,2024-Q3,377069,268857,71.3,44149,33051,74.9,5.0,3.1,2,9
Community Health,Cameroon,Central Africa,2024,Q4,2024-Q4,386307,321182,83.1,30671,18840,61.4,2.7,3.3,23,7
Community Health,Cameroon,Central Africa,2025,Q1,2025-Q1,50359,39069,77.6,18022,10709,59.4,3.3,3.2,2,13
Community Health,Cameroon,Central Africa,2025,Q2,2025-Q2,80810,58287,72.1,31712,27306,86.1,4.9,4.9,19,19
Community Health,Cameroon,Central Africa,2025,Q3,2025-Q3,48850,35853,73.4,22269,21757,97.7,2.5,4.6,21,5
Community Health,Cameroon,Central Africa,2025,Q4,2025-Q4,82622,80915,97.9,2830,2467,87.2,2.7,3.3,22,4
Community Health,Chad,Central Africa,2021,Q1,2021-Q1,387787,381698,98.4,2743,2199,80.2,3.1,3.9,5,15
Community Health,Chad,Central Africa,2021,Q2,2021-Q2,201773,176987,87.7,36275,30968,85.4,4.3,5.0,16,8
Community Health,Chad,Central Africa,2021,Q3,2021-Q3,107536,76888,71.5,26370,30279,114.8,3.5,3.3,4,8
Community Health,Chad,Central Africa,2021,Q4,2021-Q4,404269,400623,99.1,9736,11606,119.2,4.6,4.0,24,0
Community Health,Chad,Central Africa,2022,Q1,2022-Q1,195642,164593,84.1,30136,26719,88.7,4.2,4.0,8,16
Community Health,Chad,Central Africa,2022,Q2,2022-Q2,53487,53279,99.6,19232,11959,62.2,4.0,3.7,22,18
Community Health,Chad,Central Africa,2022,Q3,2022-Q3,349007,317198,90.9,7050,5573,79.0,3.4,3.9,15,14
Community Health,Chad,Central Africa,2022,Q4,2022-Q4,287796,262674,91.3,25601,17418,68.0,3.7,4.6,1,15
Community Health,Chad,Central Africa,2023,Q1,2023-Q1,470552,390838,83.1,39151,39581,101.1,3.1,3.4,5,11
Community Health,Chad,Central Africa,2023,Q2,2023-Q2,102475,82164,80.2,18719,14375,76.8,3.2,3.0,24,3
Community Health,Chad,Central Africa,2023,Q3,2023-Q3,488854,420081,85.9,39611,16412,41.4,4.9,4.1,21,3
Community Health,Chad,Central Africa,2023,Q4,2023-Q4,139749,132114,94.5,35346,33179,93.9,2.8,4.1,0,1
Community Health,Chad,Central Africa,2024,Q1,2024-Q1,470200,445369,94.7,2805,3070,109.4,3.4,3.2,7,1
Community Health,Chad,Central Africa,2024,Q2,2024-Q2,267340,209370,78.3,25853,24386,94.3,3.5,4.7,12,4
Community Health,Chad,Central Africa,2024,Q3,2024-Q3,113827,79405,69.8,4317,3183,73.7,4.7,4.9,17,20
Community Health,Chad,Central Africa,2024,Q4,2024-Q4,239870,186469,77.7,16713,11081,66.3,3.3,4.1,10,7
Community Health,Chad,Central Africa,2025,Q1,2025-Q1,238238,208483,87.5,49204,48758,99.1,2.6,3.1,10,8
Community Health,Chad,Central Africa,2025,Q2,2025-Q2,453060,341840,75.5,7104,5079,71.5,3.4,3.6,18,11
Community Health,Chad,Central Africa,2025,Q3,2025-Q3,82600,65783,79.6,34901,24396,69.9,3.3,4.9,21,1
Community Health,Chad,Central Africa,2025,Q4,2025-Q4,114028,87168,76.4,16626,12669,76.2,3.6,4.2,25,16
Community Health,South Africa,Southern Africa,2021,Q1,2021-Q1,44079,43785,99.3,28275,27337,96.7,4.3,4.2,2,14
Community Health,South Africa,Southern Africa,2021,Q2,2021-Q2,474050,301226,63.5,20501,14011,68.3,4.2,3.1,24,9
Community Health,South Africa,Southern Africa,2021,Q3,2021-Q3,191599,160647,83.8,7661,5564,72.6,4.6,3.1,17,14
Community Health,South Africa,Southern Africa,2021,Q4,2021-Q4,24178,22667,93.8,26177,24933,95.2,3.7,3.4,6,9
Community Health,South Africa,Southern Africa,2022,Q1,2022-Q1,315597,206246,65.4,21917,16767,76.5,4.1,4.1,23,19
Community Health,South Africa,Southern Africa,2022,Q2,2022-Q2,147183,95706,65.0,32403,22097,68.2,3.2,3.5,11,18
Community Health,South Africa,Southern Africa,2022,Q3,2022-Q3,278663,191000,68.5,14807,16250,109.7,3.0,3.7,23,17
Community Health,South Africa,Southern Africa,2022,Q4,2022-Q4,418711,316699,75.6,18064,13407,74.2,4.9,4.9,4,0
Community Health,South Africa,Southern Africa,2023,Q1,2023-Q1,234977,216191,92.0,3566,2422,67.9,3.8,4.6,7,17
Community Health,South Africa,Southern Africa,2023,Q2,2023-Q2,201625,190198,94.3,43677,31276,71.6,4.6,3.7,22,0
Community Health,South Africa,Southern Africa,2023,Q3,2023-Q3,195645,171168,87.5,2095,1656,79.0,4.3,3.0,24,12
Community Health,South Africa,Southern Africa,2023,Q4,2023-Q4,465123,355201,76.4,49658,40950,82.5,3.3,4.4,9,3
Community Health,South Africa,Southern Africa,2024,Q1,2024-Q1,127580,115651,90.6,36721,36374,99.1,3.2,3.9,7,13
Community Health,South Africa,Southern Africa,2024,Q2,2024-Q2,277964,247612,89.1,5925,4512,76.2,4.2,5.0,4,8
Community Health,South Africa,Southern Africa,2024,Q3,2024-Q3,68772,47457,69.0,4877,4938,101.3,4.8,3.3,7,16
Community Health,South Africa,Southern Africa,2024,Q4,2024-Q4,236560,213074,90.1,47930,52273,109.1,3.9,3.5,11,14
Community Health,South Africa,Southern Africa,2025,Q1,2025-Q1,412114,325476,79.0,7564,7405,97.9,4.7,4.1,18,3
Community Health,South Africa,Southern Africa,2025,Q2,2025-Q2,284989,243006,85.3,10749,6228,57.9,3.8,3.1,20,12
Community Health,South Africa,Southern Africa,2025,Q3,2025-Q3,59232,41056,69.3,40790,22642,55.5,3.0,4.0,18,1
Community Health,South Africa,Southern Africa,2025,Q4,2025-Q4,248056,180863,72.9,45413,38036,83.8,3.1,3.9,4,7
Community Health,Mozambique,Southern Africa,2021,Q1,2021-Q1,172922,112972,65.3,19104,14510,76.0,4.4,4.6,10,12
Community Health,Mozambique,Southern Africa,2021,Q2,2021-Q2,387382,351396,90.7,23381,20988,89.8,2.8,4.3,10,14
Community Health,Mozambique,Southern Africa,2021,Q3,2021-Q3,162583,151808,93.4,17309,19539,112.9,3.6,4.1,2,6
Community Health,Mozambique,Southern Africa,2021,Q4,2021-Q4,91361,56072,61.4,40319,40211,99.7,4.1,3.2,3,4
Community Health,Mozambique,Southern Africa,2022,Q1,2022-Q1,75395,58356,77.4,12772,11615,90.9,2.8,4.4,14,14
Community Health,Mozambique,Southern Africa,2022,Q2,2022-Q2,184643,169503,91.8,28641,16575,57.9,2.9,3.2,3,17
Community Health,Mozambique,Southern Africa,2022,Q3,2022-Q3,207845,136804,65.8,15607,13450,86.2,3.7,3.2,14,9
Community Health,Mozambique,Southern Africa,2022,Q4,2022-Q4,262927,226070,86.0,19367,19523,100.8,4.7,4.7,3,2
Community Health,Mozambique,Southern Africa,2023,Q1,2023-Q1,102635,87283,85.0,46961,37055,78.9,3.5,4.9,9,19
Community Health,Mozambique,Southern Africa,2023,Q2,2023-Q2,41144,34731,84.4,16091,12188,75.7,4.6,4.4,10,4
Community Health,Mozambique,Southern Africa,2023,Q3,2023-Q3,67821,43744,64.5,48606,34733,71.5,4.1,3.7,7,11
Community Health,Mozambique,Southern Africa,2023,Q4,2023-Q4,227746,227533,99.9,35650,35366,99.2,3.2,3.6,1,9
Community Health,Mozambique,Southern Africa,2024,Q1,2024-Q1,156402,152064,97.2,13394,12918,96.4,4.9,5.0,0,12
Community Health,Mozambique,Southern Africa,2024,Q2,2024-Q2,468057,293055,62.6,31635,29316,92.7,4.6,4.3,17,17
Community Health,Mozambique,Southern Africa,2024,Q3,2024-Q3,150994,129694,85.9,8207,7409,90.3,5.0,4.8,14,3
Community Health,Mozambique,Southern Africa,2024,Q4,2024-Q4,441473,342429,77.6,11161,8027,71.9,2.6,3.7,3,0
Community Health,Mozambique,Southern Africa,2025,Q1,2025-Q1,52332,48697,93.1,16567,13155,79.4,2.6,3.9,4,6
Community Health,Mozambique,Southern Africa,2025,Q2,2025-Q2,451842,355875,78.8,28252,31847,112.7,4.8,4.3,11,20
Community Health,Mozambique,Southern Africa,2025,Q3,2025-Q3,358000,259428,72.5,7507,5539,73.8,4.9,3.7,18,18
Community Health,Mozambique,Southern Africa,2025,Q4,2025-Q4,155696,123178,79.1,6914,5922,85.7,3.4,4.4,0,2
Community Health,Zimbabwe,Southern Africa,2021,Q1,2021-Q1,123678,106968,86.5,44335,31092,70.1,3.3,3.3,14,4
Community Health,Zimbabwe,Southern Africa,2021,Q2,2021-Q2,68223,58822,86.2,23728,23445,98.8,2.6,4.2,3,1
Community Health,Zimbabwe,Southern Africa,2021,Q3,2021-Q3,261694,248054,94.8,5318,4419,83.1,3.6,3.2,5,18
Community Health,Zimbabwe,Southern Africa,2021,Q4,2021-Q4,247098,214556,86.8,49476,49233,99.5,4.6,3.5,12,15
Community Health,Zimbabwe,Southern Africa,2022,Q1,2022-Q1,35457,27249,76.9,27082,24282,89.7,3.0,3.2,21,13
Community Health,Zimbabwe,Southern Africa,2022,Q2,2022-Q2,110600,106667,96.4,25196,15450,61.3,4.6,4.5,6,5
Community Health,Zimbabwe,Southern Africa,2022,Q3,2022-Q3,164169,101703,62.0,20340,16640,81.8,3.4,4.1,14,4
Community Health,Zimbabwe,Southern Africa,2022,Q4,2022-Q4,38166,24294,63.7,42246,43379,102.7,4.4,4.2,19,19
Community Health,Zimbabwe,Southern Africa,2023,Q1,2023-Q1,148862,100427,67.5,44420,34480,77.6,2.6,4.2,9,15
Community Health,Zimbabwe,Southern Africa,2023,Q2,2023-Q2,236002,220930,93.6,38089,29601,77.7,2.5,3.1,15,1
Community Health,Zimbabwe,Southern Africa,2023,Q3,2023-Q3,65991,54713,82.9,20335,15642,76.9,3.4,4.2,12,4
Community Health,Zimbabwe,Southern Africa,2023,Q4,2023-Q4,239799,170181,71.0,15071,15055,99.9,2.6,4.5,20,16
Community Health,Zimbabwe,Southern Africa,2024,Q1,2024-Q1,150625,128070,85.0,43337,46960,108.4,4.2,3.4,25,17
Community Health,Zimbabwe,Southern Africa,2024,Q2,2024-Q2,436728,323612,74.1,3279,3043,92.8,2.8,3.3,12,11
Community Health,Zimbabwe,Southern Africa,2024,Q3,2024-Q3,271492,236327,87.0,37685,25551,67.8,2.8,4.6,25,15
Community Health,Zimbabwe,Southern Africa,2024,Q4,2024-Q4,200372,166609,83.1,39070,35939,92.0,4.0,4.6,16,10
Community Health,Zimbabwe,Southern Africa,2025,Q1,2025-Q1,223623,197081,88.1,19723,18651,94.6,3.2,4.3,5,0
Community Health,Zimbabwe,Southern Africa,2025,Q2,2025-Q2,187183,135832,72.6,41132,37737,91.7,4.9,3.1,7,0
Community Health,Zimbabwe,Southern Africa,2025,Q3,2025-Q3,489638,407338,83.2,20411,18942,92.8,2.9,3.5,1,15
Community Health,Zimbabwe,Southern Africa,2025,Q4,2025-Q4,297574,237389,79.8,25424,18491,72.7,4.8,3.4,24,18
Community Health,Zambia,Southern Africa,2021,Q1,2021-Q1,142034,93415,65.8,12461,10599,85.1,4.8,3.3,3,7
Community Health,Zambia,Southern Africa,2021,Q2,2021-Q2,364386,312778,85.8,17804,19465,109.3,3.1,3.3,8,17
Community Health,Zambia,Southern Africa,2021,Q3,2021-Q3,447968,391242,87.3,5664,6060,107.0,3.3,3.9,24,7
Community Health,Zambia,Southern Africa,2021,Q4,2021-Q4,321828,245293,76.2,27455,25557,93.1,5.0,3.6,11,5
Community Health,Zambia,Southern Africa,2022,Q1,2022-Q1,112327,80642,71.8,17502,17156,98.0,3.1,4.8,18,10
Community Health,Zambia,Southern Africa,2022,Q2,2022-Q2,442686,312657,70.6,47719,26562,55.7,4.7,3.2,11,18
Community Health,Zambia,Southern Africa,2022,Q3,2022-Q3,34788,30009,86.3,48101,40530,84.3,4.9,4.4,22,11
Community Health,Zambia,Southern Africa,2022,Q4,2022-Q4,317612,228882,72.1,38936,35952,92.3,3.0,3.6,4,18
Community Health,Zambia,Southern Africa,2023,Q1,2023-Q1,118688,75628,63.7,34258,36100,105.4,2.9,3.3,17,9
Community Health,Zambia,Southern Africa,2023,Q2,2023-Q2,112042,96061,85.7,34141,27206,79.7,3.0,3.2,1,2
Community Health,Zambia,Southern Africa,2023,Q3,2023-Q3,49448,32968,66.7,17245,18141,105.2,3.8,4.4,19,7
Community Health,Zambia,Southern Africa,2023,Q4,2023-Q4,30448,26583,87.3,36501,24120,66.1,4.1,3.5,15,0
Community Health,Zambia,Southern Africa,2024,Q1,2024-Q1,193924,119380,61.6,42247,42073,99.6,3.9,4.7,6,4
Community Health,Zambia,Southern Africa,2024,Q2,2024-Q2,198655,197989,99.7,48985,40825,83.3,2.9,4.4,5,10
Community Health,Zambia,Southern Africa,2024,Q3,2024-Q3,51224,44550,87.0,3436,2358,68.6,4.5,3.2,4,18
Community Health,Zambia,Southern Africa,2024,Q4,2024-Q4,389463,355299,91.2,11283,10934,96.9,4.8,3.8,24,3
Community Health,Zambia,Southern Africa,2025,Q1,2025-Q1,463799,395274,85.2,36491,21589,59.2,3.3,4.5,11,2
Community Health,Zambia,Southern Africa,2025,Q2,2025-Q2,215869,210357,97.4,48172,26976,56.0,4.9,3.3,21,12
Community Health,Zambia,Southern Africa,2025,Q3,2025-Q3,327241,310845,95.0,8621,6181,71.7,2.7,3.5,10,9
Community Health,Zambia,Southern Africa,2025,Q4,2025-Q4,189136,182494,96.5,10942,10698,97.8,4.1,4.4,5,13
Community Health,Egypt,North Africa,2021,Q1,2021-Q1,435153,305852,70.3,43894,46855,106.7,2.9,4.6,15,20
Community Health,Egypt,North Africa,2021,Q2,2021-Q2,186347,129327,69.4,13416,8533,63.6,4.1,3.8,22,17
Community Health,Egypt,North Africa,2021,Q3,2021-Q3,383625,321637,83.8,42220,34339,81.3,4.5,5.0,25,11
Community Health,Egypt,North Africa,2021,Q4,2021-Q4,137040,93813,68.5,45616,41745,91.5,3.2,4.3,18,5
Community Health,Egypt,North Africa,2022,Q1,2022-Q1,218382,215363,98.6,22107,18810,85.1,4.5,3.3,23,9
Community Health,Egypt,North Africa,2022,Q2,2022-Q2,86767,85983,99.1,13646,13356,97.9,4.9,3.3,23,0
Community Health,Egypt,North Africa,2022,Q3,2022-Q3,388054,279309,72.0,39541,31920,80.7,4.5,3.8,12,18
Community Health,Egypt,North Africa,2022,Q4,2022-Q4,36977,23493,63.5,13932,10799,77.5,3.4,5.0,19,10
Community Health,Egypt,North Africa,2023,Q1,2023-Q1,444047,378271,85.2,42067,28267,67.2,5.0,4.6,7,20
Community Health,Egypt,North Africa,2023,Q2,2023-Q2,316511,225542,71.3,8822,7103,80.5,2.7,3.1,15,4
Community Health,Egypt,North Africa,2023,Q3,2023-Q3,193627,125499,64.8,7099,6806,95.9,3.7,4.7,7,11
Community Health,Egypt,North Africa,2023,Q4,2023-Q4,187519,145956,77.8,13002,11318,87.0,4.3,4.5,20,2
Community Health,Egypt,North Africa,2024,Q1,2024-Q1,450787,301840,67.0,48462,51108,105.5,2.7,3.7,21,20
Community Health,Egypt,North Africa,2024,Q2,2024-Q2,402355,327484,81.4,24003,15438,64.3,5.0,3.9,14,0
Community Health,Egypt,North Africa,2024,Q3,2024-Q3,159047,147344,92.6,15741,16625,105.6,4.0,4.8,7,2
Community Health,Egypt,North Africa,2024,Q4,2024-Q4,203753,155744,76.4,18820,15107,80.3,4.0,4.3,25,3
Community Health,Egypt,North Africa,2025,Q1,2025-Q1,397704,305020,76.7,2083,1541,74.0,4.3,3.6,1,12
Community Health,Egypt,North Africa,2025,Q2,2025-Q2,249753,200406,80.2,29502,22112,75.0,2.9,4.9,5,13
Community Health,Egypt,North Africa,2025,Q3,2025-Q3,278516,261981,94.1,26819,21727,81.0,4.4,3.3,11,17
Community Health,Egypt,North Africa,2025,Q4,2025-Q4,216790,130821,60.3,8647,8694,100.5,2.5,4.2,15,18
Community Health,Morocco,North Africa,2021,Q1,2021-Q1,361295,282589,78.2,47033,38287,81.4,3.6,4.4,7,5
Community Health,Morocco,North Africa,2021,Q2,2021-Q2,256604,199401,77.7,6830,5814,85.1,4.3,3.5,25,1
Community Health,Morocco,North Africa,2021,Q3,2021-Q3,174617,161565,92.5,3315,2143,64.6,3.1,4.3,10,8
Community Health,Morocco,North Africa,2021,Q4,2021-Q4,74906,69810,93.2,6862,6259,91.2,3.5,3.5,10,5
Community Health,Morocco,North Africa,2022,Q1,2022-Q1,485531,459703,94.7,26606,20230,76.0,3.7,3.4,5,2
Community Health,Morocco,North Africa,2022,Q2,2022-Q2,306809,261008,85.1,8101,9253,114.2,3.4,5.0,10,19
Community Health,Morocco,North Africa,2022,Q3,2022-Q3,341726,270672,79.2,33636,42560,126.5,4.8,4.6,22,0
Community Health,Morocco,North Africa,2022,Q4,2022-Q4,246137,192098,78.0,44836,34119,76.1,4.3,4.2,5,19
Community Health,Morocco,North Africa,2023,Q1,2023-Q1,486486,387703,79.7,30455,25150,82.6,3.1,4.8,5,1
Community Health,Morocco,North Africa,2023,Q2,2023-Q2,73088,53658,73.4,23698,15257,64.4,4.9,4.1,6,6
Community Health,Morocco,North Africa,2023,Q3,2023-Q3,234580,200007,85.3,47691,32847,68.9,3.4,3.2,17,17
Community Health,Morocco,North Africa,2023,Q4,2023-Q4,159075,135083,84.9,45292,39344,86.9,3.6,4.6,9,9
Community Health,Morocco,North Africa,2024,Q1,2024-Q1,144543,99472,68.8,8285,6640,80.1,4.8,4.4,1,12
Community Health,Morocco,North Africa,2024,Q2,2024-Q2,319772,245447,76.8,38022,25711,67.6,3.8,3.2,15,4
Community Health,Morocco,North Africa,2024,Q3,2024-Q3,48576,48276,99.4,25647,17049,66.5,4.0,3.2,0,13
Community Health,Morocco,North Africa,2024,Q4,2024-Q4,65942,65040,98.6,21303,21167,99.4,2.9,4.3,21,20
Community Health,Morocco,North Africa,2025,Q1,2025-Q1,334685,233670,69.8,33478,33132,99.0,4.2,4.2,6,3
Community Health,Morocco,North Africa,2025,Q2,2025-Q2,33492,32051,95.7,15562,14936,96.0,2.7,3.7,5,20
Community Health,Morocco,North Africa,2025,Q3,2025-Q3,172993,120976,69.9,7369,7255,98.5,3.0,3.5,15,3
Community Health,Morocco,North Africa,2025,Q4,2025-Q4,181665,129438,71.3,28048,28595,102.0,3.5,3.5,15,15
Community Health,Sudan,North Africa,2021,Q1,2021-Q1,489173,297348,60.8,45321,29879,65.9,2.5,4.4,8,2
Community Health,Sudan,North Africa,2021,Q2,2021-Q2,356522,331628,93.0,37659,24964,66.3,2.9,3.3,12,5
Community Health,Sudan,North Africa,2021,Q3,2021-Q3,214521,196508,91.6,26998,20988,77.7,4.1,3.6,11,5
Community Health,Sudan,North Africa,2021,Q4,2021-Q4,253714,189648,74.7,4924,4276,86.8,4.4,4.6,8,14
Community Health,Sudan,North Africa,2022,Q1,2022-Q1,263824,200543,76.0,19262,16017,83.2,4.4,4.0,7,8
Community Health,Sudan,North Africa,2022,Q2,2022-Q2,315827,302882,95.9,6039,5666,93.8,4.8,3.2,4,3
Community Health,Sudan,North Africa,2022,Q3,2022-Q3,64935,63285,97.5,45787,42284,92.3,3.0,4.6,11,17
Community Health,Sudan,North Africa,2022,Q4,2022-Q4,237048,222837,94.0,40648,37889,93.2,3.2,4.9,7,17
Community Health,Sudan,North Africa,2023,Q1,2023-Q1,51973,32220,62.0,27369,23782,86.9,3.9,4.3,16,13
Community Health,Sudan,North Africa,2023,Q2,2023-Q2,300763,182499,60.7,47027,31666,67.3,4.9,3.1,15,18
Community Health,Sudan,North Africa,2023,Q3,2023-Q3,482240,316940,65.7,17443,14924,85.6,4.8,4.3,15,9
Community Health,Sudan,North Africa,2023,Q4,2023-Q4,61395,57039,92.9,27873,22548,80.9,2.5,4.1,22,1
Community Health,Sudan,North Africa,2024,Q1,2024-Q1,283245,222014,78.4,39435,28847,73.2,4.2,4.0,16,18
Community Health,Sudan,North Africa,2024,Q2,2024-Q2,375223,339974,90.6,42650,36240,85.0,3.7,3.3,4,3
Community Health,Sudan,North Africa,2024,Q3,2024-Q3,416984,358315,85.9,31428,27348,87.0,4.0,3.3,5,5
Community Health,Sudan,North Africa,2024,Q4,2024-Q4,131091,129116,98.5,14630,12175,83.2,3.8,3.1,4,1
Community Health,Sudan,North Africa,2025,Q1,2025-Q1,241970,205851,85.1,7135,6887,96.5,4.5,5.0,21,13
Community Health,Sudan,North Africa,2025,Q2,2025-Q2,125863,100784,80.1,43105,32602,75.6,3.6,4.5,4,19
Community Health,Sudan,North Africa,2025,Q3,2025-Q3,155206,101347,65.3,22955,26394,115.0,2.7,3.8,23,2
Community Health,Sudan,North Africa,2025,Q4,2025-Q4,65627,61775,94.1,27434,31663,115.4,4.6,3.2,17,12
Emergency Response,Kenya,East Africa,2021,Q1,2021-Q1,309435,196889,63.6,23373,21916,93.8,2.8,4.4,8,16
Emergency Response,Kenya,East Africa,2021,Q2,2021-Q2,260206,166653,64.0,2810,2232,79.4,4.1,3.7,25,19
Emergency Response,Kenya,East Africa,2021,Q3,2021-Q3,328059,300359,91.6,36246,34403,94.9,3.1,4.4,25,13
Emergency Response,Kenya,East Africa,2021,Q4,2021-Q4,78992,75000,94.9,29160,19253,66.0,2.8,4.7,4,4
Emergency Response,Kenya,East Africa,2022,Q1,2022-Q1,317058,265513,83.7,40530,33234,82.0,2.9,4.4,18,3
Emergency Response,Kenya,East Africa,2022,Q2,2022-Q2,75383,68112,90.4,38876,27043,69.6,2.8,4.0,24,3
Emergency Response,Kenya,East Africa,2022,Q3,2022-Q3,431957,399927,92.6,20749,17707,85.3,4.9,4.1,17,11
Emergency Response,Kenya,East Africa,2022,Q4,2022-Q4,480269,363888,75.8,28928,27789,96.1,4.6,4.0,8,12
Emergency Response,Kenya,East Africa,2023,Q1,2023-Q1,363297,286554,78.9,33823,34881,103.1,4.6,3.8,18,19
Emergency Response,Kenya,East Africa,2023,Q2,2023-Q2,268012,196538,73.3,4455,3764,84.5,3.7,4.1,5,8
Emergency Response,Kenya,East Africa,2023,Q3,2023-Q3,231274,160812,69.5,11427,9598,84.0,3.3,3.2,19,19
Emergency Response,Kenya,East Africa,2023,Q4,2023-Q4,376942,262177,69.6,47459,50695,106.8,4.9,3.6,12,1
Emergency Response,Kenya,East Africa,2024,Q1,2024-Q1,227509,151872,66.8,23724,13432,56.6,2.6,3.6,22,7
Emergency Response,Kenya,East Africa,2024,Q2,2024-Q2,45842,37482,81.8,33143,26254,79.2,3.9,3.7,8,11
Emergency Response,Kenya,East Africa,2024,Q3,2024-Q3,30607,23840,77.9,24142,20161,83.5,3.1,3.5,25,9
Emergency Response,Kenya,East Africa,2024,Q4,2024-Q4,183026,143328,78.3,20372,18466,90.6,4.4,3.4,15,3
Emergency Response,Kenya,East Africa,2025,Q1,2025-Q1,475553,420254,88.4,16939,14253,84.1,4.4,3.7,4,9
Emergency Response,Kenya,East Africa,2025,Q2,2025-Q2,409925,338390,82.5,31039,24817,80.0,3.0,4.5,24,10
Emergency Response,Kenya,East Africa,2025,Q3,2025-Q3,161253,100123,62.1,49762,39646,79.7,4.7,3.7,13,19
Emergency Response,Kenya,East Africa,2025,Q4,2025-Q4,358456,318693,88.9,7851,7161,91.2,3.3,4.8,6,14
Emergency Response,Ethiopia,East Africa,2021,Q1,2021-Q1,130829,85124,65.1,28684,24257,84.6,2.7,3.4,23,15
Emergency Response,Ethiopia,East Africa,2021,Q2,2021-Q2,418193,408786,97.8,35849,23327,65.1,4.9,3.8,11,1
Emergency Response,Ethiopia,East Africa,2021,Q3,2021-Q3,290149,281245,96.9,12418,7374,59.4,4.3,4.3,2,9
Emergency Response,Ethiopia,East Africa,2021,Q4,2021-Q4,392018,390312,99.6,35213,31687,90.0,3.2,4.3,12,4
Emergency Response,Ethiopia,East Africa,2022,Q1,2022-Q1,429215,266460,62.1,36359,31180,85.8,3.3,3.3,18,0
Emergency Response,Ethiopia,East Africa,2022,Q2,2022-Q2,111088,79302,71.4,14632,15707,107.3,3.4,4.5,6,1
Emergency Response,Ethiopia,East Africa,2022,Q3,2022-Q3,150804,123035,81.6,4167,3417,82.0,4.8,4.3,14,1
Emergency Response,Ethiopia,East Africa,2022,Q4,2022-Q4,208940,192377,92.1,48178,34578,71.8,3.7,3.7,6,8
Emergency Response,Ethiopia,East Africa,2023,Q1,2023-Q1,213122,137114,64.3,32423,28999,89.4,2.9,4.0,16,12
Emergency Response,Ethiopia,East Africa,2023,Q2,2023-Q2,353137,280726,79.5,10118,9196,90.9,4.1,4.9,21,0
Emergency Response,Ethiopia,East Africa,2023,Q3,2023-Q3,146845,122161,83.2,26409,19926,75.5,2.7,3.4,15,19
Emergency Response,Ethiopia,East Africa,2023,Q4,2023-Q4,253886,155629,61.3,13638,11708,85.8,4.4,4.4,15,18
Emergency Response,Ethiopia,East Africa,2024,Q1,2024-Q1,309057,202253,65.4,24921,20151,80.9,3.3,3.5,11,5
Emergency Response,Ethiopia,East Africa,2024,Q2,2024-Q2,459171,343883,74.9,18951,16872,89.0,3.1,4.0,23,2
Emergency Response,Ethiopia,East Africa,2024,Q3,2024-Q3,169458,129290,76.3,3798,2923,77.0,4.6,4.0,12,1
Emergency Response,Ethiopia,East Africa,2024,Q4,2024-Q4,105410,85466,81.1,39503,34471,87.3,3.9,3.3,24,6
